amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL250230,True,0.0028948494846600097,0.37346111764656076,-5.151674980230699,1.0,pearson,134.53011136749882,1345.187671663972,CLK2
AMPL250232,True,0.00037770295348643,0.8200687562876536,-7.188255328054246,1.0,pearson,154.61655097149225,5651.675877477346,DHX9
AMPL250234,True,0.0004996507387120078,1.4035140143601488,-6.9084540456386865,1.0,pearson,157.6977982340519,5867.81993750441,IKBKE
AMPL250235,True,0.0002789282081566122,0.5850806911946154,-7.491408947130114,1.0,pearson,158.3839375619002,5562.921243275834,IRF6
AMPL250236,True,0.00016956925614859284,0.9064189807215108,-7.989101943187178,1.0,pearson,157.04438783804824,6704.124049001586,IRF6
AMPL250237,True,0.001551404849128042,0.5731673031842339,-5.7754472237059025,1.0,pearson,142.91404122335342,2344.950796711647,PARP1
AMPL250238,True,0.0013557673227599808,0.6736361244482612,-5.910240514512358,1.0,pearson,144.04862753889483,3041.222639392718,MYCN
AMPL250241,True,0.000478751253645463,0.5928137646309386,-6.9511822183323,1.0,pearson,158.60108629694142,4944.77431704819,MSH2
AMPL250242,True,0.0009376532305881253,0.5534415962643512,-6.278983186954932,1.0,pearson,152.89381375359386,3764.8758221437706,REV1
AMPL250243,True,0.0012330745905533393,0.4788861756895522,-6.005097380892664,1.0,pearson,151.83540488551725,3291.9655805709517,ERCC3
AMPL250245,True,0.00044592446069589896,1.178478867387192,-7.022213810366089,1.0,pearson,146.45031532242885,7255.231837587382,ERCC3
AMPL250249,True,0.0005316127288540844,0.4899333630456983,-6.846448106431126,1.0,pearson,158.62276110734842,4440.7420729670075,BARD1
AMPL250251,True,0.0005245967989978542,1.2007433999784185,-6.859733411786103,1.0,pearson,149.80131551320812,6317.628971317737,PTMA
AMPL250253,True,0.000885102791378205,0.796062708260704,-6.336659590691159,1.0,pearson,146.48915632849557,4673.134669546885,OGG1
AMPL250255,True,0.0010628359444186982,0.5727753970166616,-6.153667343598758,1.0,pearson,149.78138616984606,3650.017660702073,MLH1
AMPL250256,True,0.002285588585345131,0.4364032164468907,-5.387984520661449,1.0,pearson,139.3955700616664,1799.2487700095749,SETD2
